Date,Nature,Amount,DebitCredit,Category,SubCategory
01/04/2024,Hairdresser,22,D,Personal Care,Hair
01/04/2024,Savings Livret A,700,D,Investments,Savings
02/04/2024,Beeminder fine,27.98,D,Health and Fitness,Other
02/04/2024,Cigarettes,12.5,D,Cigarettes,Cigarettes
02/04/2024,Fisherman's Friend,2.5,D,Food and Dining,Snack/Fast Food
02/04/2024,Five Guys,20.15,D,Food and Dining,Snack/Fast Food
02/04/2024,Gift mangas for Ulysse,50.02,D,Gifts and Donations,Gifts
02/04/2024,Navigo Apr'24,86.4,D,Travel,Transport Card
03/04/2024,111 Cap wage,4783.99,C,Income,Wages
03/04/2024,Carrefour City groceries,8.18,D,Food and Dining,Groceries
03/04/2024,Deliveroo,17.39,D,Food and Dining,Food Delivery
03/04/2024,Rent Citeaux,1073.02,D,Household and Utilities,Rent/Mortgage payment
04/04/2024,Cigarettes,12.7,D,Cigarettes,Cigarettes
04/04/2024,Financier Kayser,3.5,D,Food and Dining,Snack/Fast Food
04/04/2024,HelloFresh,38.94,D,Food and Dining,Groceries
05/04/2024,Cigarettes,12.5,D,Cigarettes,Cigarettes
05/04/2024,Deliveroo,18.63,D,Food and Dining,Food Delivery
05/04/2024,La Boutique bar with Aurélie,27.9,D,Entertainment,Bars
05/04/2024,MacroFactor subscription,13.99,D,Health and Fitness,Other
06/04/2024,Cigarettes,12.5,D,Cigarettes,Cigarettes
06/04/2024,Les Planques,4.2,D,Entertainment,Bars
06/04/2024,Les Planques,7,D,Entertainment,Bars
06/04/2024,Therapist,60,D,Health and Fitness,Doctor
07/04/2024,Cigarettes,12.5,D,Cigarettes,Cigarettes
07/04/2024,Perigourdine café with Aurélie,10.8,D,Food and Dining,Coffee Shops
08/04/2024,Carrefour City groceries,13.97,D,Food and Dining,Groceries
08/04/2024,Drinks Frop Hop House,13,D,Entertainment,Bars
08/04/2024,HelloFresh,63.6,D,Food and Dining,Groceries
10/04/2024,Medias JA,12,D,Entertainment,Other
11/04/2024,Café Nuances,4.5,D,Food and Dining,Coffee Shops
11/04/2024,McDonald's,17.7,D,Food and Dining,Snack/Fast Food
12/04/2024,Cigarettes,12.5,D,Cigarettes,Cigarettes
12/04/2024,Fisherman's Friend,2.5,D,Food and Dining,Snack/Fast Food
